new_cluster,n_total,source_1,count_1,pct_1,source_2,count_2,pct_2,source_3,count_3,pct_3
0,93,0,85,91.39784946236558,2,4,4.301075268817205,3,2,2.1505376344086025
1,118,1,116,98.30508474576271,8,1,0.847457627118644,Outliers,1,0.847457627118644
2,195,6,127,65.12820512820512,Outliers,58,29.743589743589745,7,4,2.051282051282051
3,322,2,264,81.98757763975155,Outliers,39,12.111801242236025,8,5,1.5527950310559007
4,186,3,136,73.11827956989248,Outliers,46,24.731182795698924,6,4,2.1505376344086025
5,515,1,486,94.36893203883496,Outliers,17,3.300970873786408,7,9,1.7475728155339807
6,72,1,64,88.88888888888889,7,3,4.166666666666666,Outliers,2,2.7777777777777777
7,72,Outliers,60,83.33333333333334,7,7,9.722222222222223,1,4,5.555555555555555
8,75,5,70,93.33333333333333,8,2,2.666666666666667,1,1,1.3333333333333335
9,69,7,59,85.5072463768116,Outliers,5,7.246376811594203,1,3,4.3478260869565215
10,81,4,74,91.35802469135803,Outliers,3,3.7037037037037033,7,2,2.4691358024691357
11,269,8,216,80.29739776951673,Outliers,36,13.382899628252787,7,8,2.973977695167286
12,417,7,371,88.96882494004797,Outliers,30,7.194244604316546,8,5,1.1990407673860912
